ELSI Export,,,,,,
,,,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,,,
,,,,,,
This is a District based table with the following filters applied: State(s) (All Years): MISSISSIPPI,,,,,,
,,,,,,
Agency Name,State Name [District] Latest available year,Latitude [District] 2021-22,Longitude [District] 2021-22,Agency Type [District] 2021-22,Agency Name [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year
ABERDEEN SCHOOL DIST,Mississippi,33.826076,-88.565636,1-Regular local school district that is NOT a component of a supervisory union,ABERDEEN SCHOOL DIST,2800360
ALCORN SCHOOL DIST,Mississippi,34.914232,-88.533476,1-Regular local school district that is NOT a component of a supervisory union,ALCORN SCHOOL DIST,2800390
AMBITION PREPARATORY CHARTER SCHOOL,MISSISSIPPI,32.331176,-90.267163,7-Independent Charter District,Ambition Preparatory Charter School,2800197
AMITE COUNTY SCHOOL DISTRICT,Mississippi,31.153189,-90.801272,1-Regular local school district that is NOT a component of a supervisory union,AMITE COUNTY SCHOOL DISTRICT,2800420
AMORY SCHOOL DIST,Mississippi,33.98624,-88.489612,1-Regular local school district that is NOT a component of a supervisory union,AMORY SCHOOL DIST,2800450
ATTALA CO SCHOOL DIST,Mississippi,33.058191,-89.590526,1-Regular local school district that is NOT a component of a supervisory union,ATTALA CO SCHOOL DIST,2800510
BALDWYN SCHOOL DISTRICT,Mississippi,34.509199,-88.634176,1-Regular local school district that is NOT a component of a supervisory union,BALDWYN SCHOOL DISTRICT,2800540
BAY ST LOUIS WAVELAND SCHOOL DIST,Mississippi,30.31249,-89.329121,1-Regular local school district that is NOT a component of a supervisory union,BAY ST LOUIS WAVELAND SCHOOL DIST,2800570
BENTON CO SCHOOL DIST,Mississippi,34.832042,-89.174724,1-Regular local school district that is NOT a component of a supervisory union,BENTON CO SCHOOL DIST,2800600
BILOXI PUBLIC SCHOOL DIST,Mississippi,30.396622,-88.9252,1-Regular local school district that is NOT a component of a supervisory union,BILOXI PUBLIC SCHOOL DIST,2800630
BOONEVILLE SCHOOL DIST,Mississippi,34.658571,-88.564817,1-Regular local school district that is NOT a component of a supervisory union,BOONEVILLE SCHOOL DIST,2800820
BROOKHAVEN SCHOOL DIST,Mississippi,31.579429,-90.437724,1-Regular local school district that is NOT a component of a supervisory union,BROOKHAVEN SCHOOL DIST,2800840
CALHOUN CO SCHOOL DIST,Mississippi,33.939674,-89.339045,1-Regular local school district that is NOT a component of a supervisory union,CALHOUN CO SCHOOL DIST,2800870
CANTON PUBLIC SCHOOL DIST,Mississippi,32.619397,-90.026806,1-Regular local school district that is NOT a component of a supervisory union,CANTON PUBLIC SCHOOL DIST,2800900
CARROLL COUNTY SCHOOL DIST,Mississippi,33.507706,-89.919777,1-Regular local school district that is NOT a component of a supervisory union,CARROLL COUNTY SCHOOL DIST,2800930
CHICKASAW CO SCHOOL DIST,MISSISSIPPI,33.887471,-88.995441,1-Regular local school district that is NOT a component of a supervisory union,CHICKASAW CO SCHOOL DIST,2800200
CHOCTAW CO SCHOOL DIST,Mississippi,33.310623,-89.172644,1-Regular local school district that is NOT a component of a supervisory union,CHOCTAW CO SCHOOL DIST,2800990
CLAIBORNE CO SCHOOL DIST,Mississippi,31.962735,-90.983757,1-Regular local school district that is NOT a component of a supervisory union,CLAIBORNE CO SCHOOL DIST,2801020
CLARKSDALE COLLEGIATE DISTRICT,MISSISSIPPI,34.199989,-90.598864,7-Independent Charter District,CLARKSDALE COLLEGIATE DISTRICT,2800194
CLARKSDALE MUNICIPAL SCHOOL DIST,Mississippi,34.189993,-90.582926,1-Regular local school district that is NOT a component of a supervisory union,CLARKSDALE MUNICIPAL SCHOOL DIST,2801050
CLEVELAND SCHOOL DIST,Mississippi,33.750689,-90.725258,1-Regular local school district that is NOT a component of a supervisory union,CLEVELAND SCHOOL DIST,2800750
CLINTON PUBLIC SCHOOL DIST,Mississippi,32.331296,-90.300727,1-Regular local school district that is NOT a component of a supervisory union,CLINTON PUBLIC SCHOOL DIST,2801090
COAHOMA COUNTY SCHOOL DISTRICT,Mississippi,34.208903,-90.609327,1-Regular local school district that is NOT a component of a supervisory union,COAHOMA COUNTY SCHOOL DISTRICT,2801110
COFFEEVILLE SCHOOL DIST,Mississippi,33.983194,-89.672625,1-Regular local school district that is NOT a component of a supervisory union,COFFEEVILLE SCHOOL DIST,2801140
COLUMBIA SCHOOL DISTRICT,Mississippi,31.251706,-89.820384,1-Regular local school district that is NOT a component of a supervisory union,COLUMBIA SCHOOL DISTRICT,2801170
COLUMBUS MUNICIPAL SCHOOL DIST,Mississippi,33.527951,-88.43419,1-Regular local school district that is NOT a component of a supervisory union,COLUMBUS MUNICIPAL SCHOOL DIST,2801200
COPIAH CO SCHOOL DIST,Mississippi,31.860625,-90.397489,1-Regular local school district that is NOT a component of a supervisory union,COPIAH CO SCHOOL DIST,2801220
CORINTH SCHOOL DIST,Mississippi,34.941163,-88.49618,1-Regular local school district that is NOT a component of a supervisory union,CORINTH SCHOOL DIST,2801260
COVINGTON COUNTY SCHOOL DISTRICT,Mississippi,31.636932,-89.548096,1-Regular local school district that is NOT a component of a supervisory union,COVINGTON COUNTY SCHOOL DISTRICT,2801290
DESOTO CO SCHOOL DIST,Mississippi,34.821383,-89.989541,1-Regular local school district that is NOT a component of a supervisory union,DESOTO CO SCHOOL DIST,2801320
EAST JASPER CONSOLIDATED SCH DIST,Mississippi,31.894073,-88.990254,1-Regular local school district that is NOT a component of a supervisory union,EAST JASPER CONSOLIDATED SCH DIST,2801380
EAST TALLAHATCHIE CONSOL SCH DIST,Mississippi,34.009351,-90.051583,1-Regular local school district that is NOT a component of a supervisory union,EAST TALLAHATCHIE CONSOL SCH DIST,2801410
ELLISVILLE STATE SCHOOL ADM,Mississippi,31.586712,-89.216338,5-State agency providing elementary and/or secondary level instruction,ELLISVILLE STATE SCHOOL ADM,2801192
ENTERPRISE SCHOOL DIST,Mississippi,32.171594,-88.819834,1-Regular local school district that is NOT a component of a supervisory union,ENTERPRISE SCHOOL DIST,2801440
FOREST MUNICIPAL SCHOOL DIST,Mississippi,32.36841,-89.485529,1-Regular local school district that is NOT a component of a supervisory union,FOREST MUNICIPAL SCHOOL DIST,2801470
FORREST COUNTY AG HIGH SCHOOL,Mississippi,31.070043,-89.187191,1-Regular local school district that is NOT a component of a supervisory union,FORREST COUNTY AG HIGH SCHOOL,2801510
FORREST COUNTY SCHOOL DISTRICT,Mississippi,31.327044,-89.292574,1-Regular local school district that is NOT a component of a supervisory union,FORREST COUNTY SCHOOL DISTRICT,2801490
FRANKLIN CO SCHOOL DIST,Mississippi,31.471809,-90.892865,1-Regular local school district that is NOT a component of a supervisory union,FRANKLIN CO SCHOOL DIST,2801530
GEORGE CO SCHOOL DIST,Mississippi,30.925065,-88.587746,1-Regular local school district that is NOT a component of a supervisory union,GEORGE CO SCHOOL DIST,2801560
GREENE COUNTY SCHOOL DISTRICT,Mississippi,31.15593,-88.554233,1-Regular local school district that is NOT a component of a supervisory union,GREENE COUNTY SCHOOL DISTRICT,2801590
GREENVILLE PUBLIC SCHOOLS,Mississippi,33.402643,-91.05288,1-Regular local school district that is NOT a component of a supervisory union,GREENVILLE PUBLIC SCHOOLS,2801620
GREENWOOD-LEFLORE CONS SCH DISTRICT,MISSISSIPPI,33.526399,-90.215864,1-Regular local school district that is NOT a component of a supervisory union,GREENWOOD-LEFLORE CONS SCH DISTRICT,2800198
GRENADA SCHOOL DIST,Mississippi,33.78239,-89.803581,1-Regular local school district that is NOT a component of a supervisory union,GRENADA SCHOOL DIST,2801680
GULFPORT SCHOOL DIST,Mississippi,30.37989,-89.086742,1-Regular local school district that is NOT a component of a supervisory union,GULFPORT SCHOOL DIST,2801710
HANCOCK CO SCHOOL DIST,Mississippi,30.438072,-89.432553,1-Regular local school district that is NOT a component of a supervisory union,HANCOCK CO SCHOOL DIST,2801740
HARRISON CO SCHOOL DIST,Mississippi,30.444132,-89.097654,1-Regular local school district that is NOT a component of a supervisory union,HARRISON CO SCHOOL DIST,2801770
HATTIESBURG PUBLIC SCHOOL DIST,Mississippi,31.323411,-89.301954,1-Regular local school district that is NOT a component of a supervisory union,HATTIESBURG PUBLIC SCHOOL DIST,2801800
HAZLEHURST CITY SCHOOL DISTRICT,Mississippi,31.859286,-90.393038,1-Regular local school district that is NOT a component of a supervisory union,HAZLEHURST CITY SCHOOL DISTRICT,2801830
HINDS CO SCHOOL DIST,Mississippi,32.253319,-90.406332,1-Regular local school district that is NOT a component of a supervisory union,HINDS CO SCHOOL DIST,2801860
HOLLANDALE SCHOOL DIST,Mississippi,33.168577,-90.854206,1-Regular local school district that is NOT a component of a supervisory union,HOLLANDALE SCHOOL DIST,2801890
HOLLY SPRINGS SCHOOL DIST,Mississippi,34.76205,-89.430165,1-Regular local school district that is NOT a component of a supervisory union,HOLLY SPRINGS SCHOOL DIST,2801950
HOLMES COUNTY CONSOLIDATED SD,MISSISSIPPI,33.118521,-90.040711,1-Regular local school district that is NOT a component of a supervisory union,HOLMES COUNTY CONSOLIDATED SD,2800195
HUDSPETH CENTER ADMINISTRATION,Mississippi,32.242851,-90.081269,5-State agency providing elementary and/or secondary level instruction,HUDSPETH CENTER ADMINISTRATION,2801196
HUMPHREYS CO SCHOOL DIST,Mississippi,33.189357,-90.48458,1-Regular local school district that is NOT a component of a supervisory union,HUMPHREYS CO SCHOOL DIST,2802040
ITAWAMBA COUNTY SCHOOL DIST,Mississippi,34.267324,-88.409745,1-Regular local school district that is NOT a component of a supervisory union,ITAWAMBA COUNTY SCHOOL DIST,2802100
JACKSON CO SCHOOL DIST,Mississippi,30.520632,-88.688188,1-Regular local school district that is NOT a component of a supervisory union,JACKSON CO SCHOOL DIST,2802160
JACKSON PUBLIC SCHOOL DISTRICT,Mississippi,32.292326,-90.182688,1-Regular local school district that is NOT a component of a supervisory union,JACKSON PUBLIC SCHOOL DISTRICT,2802190
JEFFERSON CO SCHOOL DIST,Mississippi,31.705611,-91.067006,1-Regular local school district that is NOT a component of a supervisory union,JEFFERSON CO SCHOOL DIST,2802220
JEFFERSON DAVIS CO SCHOOL DIST,Mississippi,31.601096,-89.865765,1-Regular local school district that is NOT a component of a supervisory union,JEFFERSON DAVIS CO SCHOOL DIST,2802250
JOEL E SMILOW COLLEGIATE,MISSISSIPPI,32.355086,-90.160222,7-Independent Charter District,JOEL E SMILOW COLLEGIATE,2800193
JOEL E. SMILLOW PREP,MISSISSIPPI,32.355086,-90.160222,7-Independent Charter District,JOEL E. SMILLOW PREP,2800192
JONES CO SCHOOL DIST,Mississippi,31.630838,-89.181263,1-Regular local school district that is NOT a component of a supervisory union,JONES CO SCHOOL DIST,2802280
KEMPER CO SCHOOL DIST,Mississippi,32.766378,-88.651342,1-Regular local school district that is NOT a component of a supervisory union,KEMPER CO SCHOOL DIST,2802310
KOSCIUSKO SCHOOL DISTRICT,Mississippi,33.058303,-89.592409,1-Regular local school district that is NOT a component of a supervisory union,KOSCIUSKO SCHOOL DISTRICT,2802340
LAFAYETTE CO SCHOOL DIST,Mississippi,34.350245,-89.497242,1-Regular local school district that is NOT a component of a supervisory union,LAFAYETTE CO SCHOOL DIST,2802370
LAMAR COUNTY SCHOOL DISTRICT,Mississippi,31.136868,-89.411078,1-Regular local school district that is NOT a component of a supervisory union,LAMAR COUNTY SCHOOL DISTRICT,2802400
LAUDERDALE CO SCHOOL DIST,Mississippi,32.407599,-88.679483,1-Regular local school district that is NOT a component of a supervisory union,LAUDERDALE CO SCHOOL DIST,2802430
LAUREL SCHOOL DISTRICT,Mississippi,31.699909,-89.128652,1-Regular local school district that is NOT a component of a supervisory union,LAUREL SCHOOL DISTRICT,2802460
LAWRENCE CO SCHOOL DIST,Mississippi,31.549004,-90.111703,1-Regular local school district that is NOT a component of a supervisory union,LAWRENCE CO SCHOOL DIST,2802490
LEAKE CO SCHOOL DIST,Mississippi,32.736539,-89.534055,1-Regular local school district that is NOT a component of a supervisory union,LEAKE CO SCHOOL DIST,2802520
LEE COUNTY SCHOOL DISTRICT,Mississippi,34.240357,-88.679886,1-Regular local school district that is NOT a component of a supervisory union,LEE COUNTY SCHOOL DISTRICT,2802550
LEFLORE LEGACY ACADEMY,MISSISSIPPI,33.518905,-90.18674,7-Independent Charter District,Leflore Legacy Academy,2800199
LELAND SCHOOL DIST,Mississippi,33.403681,-90.893886,1-Regular local school district that is NOT a component of a supervisory union,LELAND SCHOOL DIST,2802610
LINCOLN COUNTY SCHOOL DISTRICT,Mississippi,31.579092,-90.439465,1-Regular local school district that is NOT a component of a supervisory union,LINCOLN COUNTY SCHOOL DISTRICT,2802640
LONG BEACH SCHOOL DIST,Mississippi,30.370182,-89.164912,1-Regular local school district that is NOT a component of a supervisory union,LONG BEACH SCHOOL DIST,2802670
LOUISVILLE MUNICIPAL SCHOOL DIST,Mississippi,33.122872,-89.053535,1-Regular local school district that is NOT a component of a supervisory union,LOUISVILLE MUNICIPAL SCHOOL DIST,2802700
LOWNDES CO SCHOOL DIST,Mississippi,33.469526,-88.493108,1-Regular local school district that is NOT a component of a supervisory union,LOWNDES CO SCHOOL DIST,2802730
MADISON CO SCHOOL DIST,Mississippi,32.415634,-90.169854,1-Regular local school district that is NOT a component of a supervisory union,MADISON CO SCHOOL DIST,2802790
MARION CO SCHOOL DIST,Mississippi,31.258756,-89.834878,1-Regular local school district that is NOT a component of a supervisory union,MARION CO SCHOOL DIST,2802820
MARSHALL CO SCHOOL DIST,Mississippi,34.768011,-89.446339,1-Regular local school district that is NOT a component of a supervisory union,MARSHALL CO SCHOOL DIST,2802850
MCCOMB SCHOOL DISTRICT,Mississippi,31.245349,-90.460317,1-Regular local school district that is NOT a component of a supervisory union,MCCOMB SCHOOL DISTRICT,2802880
MDHS DIVISION OF YOUTH SERVICES,Mississippi,32.220456,-90.506132,5-State agency providing elementary and/or secondary level instruction,MDHS DIVISION OF YOUTH SERVICES,2801191
MERIDIAN PUBLIC SCHOOLS,Mississippi,32.367599,-88.70392,1-Regular local school district that is NOT a component of a supervisory union,MERIDIAN PUBLIC SCHOOLS,2802910
MIDTOWN PUBLIC CHARTER SCHOOL,MISSISSIPPI,32.318301,-90.184041,7-Independent Charter District,MIDTOWN PUBLIC CHARTER SCHOOL,2800190
MONROE CO SCHOOL DIST,Mississippi,34.004368,-88.48109,1-Regular local school district that is NOT a component of a supervisory union,MONROE CO SCHOOL DIST,2802940
MOSS POINT SEPARATE SCHOOL DIST,Mississippi,30.413167,-88.553091,1-Regular local school district that is NOT a component of a supervisory union,MOSS POINT SEPARATE SCHOOL DIST,2803000
MS SCHLS FOR THE DEAF AND THE BLIND,Mississippi,32.341025,-90.156566,5-State agency providing elementary and/or secondary level instruction,MS SCHLS FOR THE DEAF AND THE BLIND,2801189
MS SCHOOL FOR MATH AND SCIENCE,Mississippi,33.491648,-88.417785,5-State agency providing elementary and/or secondary level instruction,MS SCHOOL FOR MATH AND SCIENCE,2801194
MS SCHOOL FOR THE ARTS,Mississippi,31.5801,-90.446983,5-State agency providing elementary and/or secondary level instruction,MS SCHOOL FOR THE ARTS,2800031
NATCHEZ-ADAMS SCHOOL DISTRICT,Mississippi,31.553989,-91.40202,1-Regular local school district that is NOT a component of a supervisory union,NATCHEZ-ADAMS SCHOOL DISTRICT,2803030
NESHOBA COUNTY SCHOOL DISTRICT,Mississippi,32.771536,-89.101315,1-Regular local school district that is NOT a component of a supervisory union,NESHOBA COUNTY SCHOOL DISTRICT,2803060
NETTLETON SCHOOL DIST,Mississippi,34.090648,-88.620057,1-Regular local school district that is NOT a component of a supervisory union,NETTLETON SCHOOL DIST,2803090
NEW ALBANY PUBLIC SCHOOLS,Mississippi,34.488884,-88.996757,1-Regular local school district that is NOT a component of a supervisory union,NEW ALBANY PUBLIC SCHOOLS,2803120
NEWTON COUNTY SCHOOL DISTRICT,Mississippi,32.437846,-89.106348,1-Regular local school district that is NOT a component of a supervisory union,NEWTON COUNTY SCHOOL DISTRICT,2803150
NEWTON MUNICIPAL SCHOOL DISTRICT,Mississippi,32.319994,-89.166499,1-Regular local school district that is NOT a component of a supervisory union,NEWTON MUNICIPAL SCHOOL DISTRICT,2803180
NORTH BOLIVAR CONS SCHOOL DIST,MISSISSIPPI,33.881581,-90.726856,1-Regular local school district that is NOT a component of a supervisory union,NORTH BOLIVAR CONS SCHOOL DIST,2800186
NORTH PANOLA SCHOOL DISTRICT,Mississippi,34.441434,-89.925845,1-Regular local school district that is NOT a component of a supervisory union,NORTH PANOLA SCHOOL DISTRICT,2803210
NORTH PIKE SCHOOL DIST,Mississippi,31.294722,-90.436258,1-Regular local school district that is NOT a component of a supervisory union,NORTH PIKE SCHOOL DIST,2803240
NORTH TIPPAH SCHOOL DIST,Mississippi,34.847301,-88.937198,1-Regular local school district that is NOT a component of a supervisory union,NORTH TIPPAH SCHOOL DIST,2803270
NOXUBEE COUNTY SCHOOL DISTRICT,Mississippi,33.104489,-88.551884,1-Regular local school district that is NOT a component of a supervisory union,NOXUBEE COUNTY SCHOOL DISTRICT,2803300
OCEAN SPRINGS SCHOOL DIST,Mississippi,30.41332,-88.809631,1-Regular local school district that is NOT a component of a supervisory union,OCEAN SPRINGS SCHOOL DIST,2803360
OKOLONA SEPARATE SCHOOL DIST,Mississippi,34.003767,-88.754837,1-Regular local school district that is NOT a component of a supervisory union,OKOLONA SEPARATE SCHOOL DIST,2803390
OXFORD SCHOOL DISTRICT,Mississippi,34.387417,-89.498628,1-Regular local school district that is NOT a component of a supervisory union,OXFORD SCHOOL DISTRICT,2803450
PASCAGOULA-GAUTIER SCHOOL DISTRICT,Mississippi,30.358882,-88.554377,1-Regular local school district that is NOT a component of a supervisory union,PASCAGOULA-GAUTIER SCHOOL DISTRICT,2803480
PASS CHRISTIAN PUBLIC SCHOOL DIST,Mississippi,30.378745,-89.271879,1-Regular local school district that is NOT a component of a supervisory union,PASS CHRISTIAN PUBLIC SCHOOL DIST,2803510
PEARL PUBLIC SCHOOL DISTRICT,Mississippi,32.28309,-90.105373,1-Regular local school district that is NOT a component of a supervisory union,PEARL PUBLIC SCHOOL DISTRICT,2803520
PEARL RIVER CO SCHOOL DIST,Mississippi,30.627482,-89.652675,1-Regular local school district that is NOT a component of a supervisory union,PEARL RIVER CO SCHOOL DIST,2803540
PERRY CO SCHOOL DIST,Mississippi,31.204015,-89.035283,1-Regular local school district that is NOT a component of a supervisory union,PERRY CO SCHOOL DIST,2803570
PETAL SCHOOL DIST,Mississippi,31.347346,-89.261477,1-Regular local school district that is NOT a component of a supervisory union,PETAL SCHOOL DIST,2803530
PHILADELPHIA PUBLIC SCHOOL DIST,Mississippi,32.773617,-89.111429,1-Regular local school district that is NOT a component of a supervisory union,PHILADELPHIA PUBLIC SCHOOL DIST,2803600
PICAYUNE SCHOOL DISTRICT,Mississippi,30.530918,-89.687588,1-Regular local school district that is NOT a component of a supervisory union,PICAYUNE SCHOOL DISTRICT,2803630
PONTOTOC CITY SCHOOLS,Mississippi,34.252373,-88.997725,1-Regular local school district that is NOT a component of a supervisory union,PONTOTOC CITY SCHOOLS,2803690
PONTOTOC CO SCHOOL DIST,Mississippi,34.255407,-89.023317,1-Regular local school district that is NOT a component of a supervisory union,PONTOTOC CO SCHOOL DIST,2803660
POPLARVILLE SEPARATE SCHOOL DIST,Mississippi,30.842601,-89.536199,1-Regular local school district that is NOT a component of a supervisory union,POPLARVILLE SEPARATE SCHOOL DIST,2803720
PRENTISS CO SCHOOL DIST,Mississippi,34.65557,-88.562399,1-Regular local school district that is NOT a component of a supervisory union,PRENTISS CO SCHOOL DIST,2803750
QUITMAN CO SCHOOL DIST,Mississippi,34.241593,-90.278473,1-Regular local school district that is NOT a component of a supervisory union,QUITMAN CO SCHOOL DIST,2803810
QUITMAN SCHOOL DIST,Mississippi,32.036163,-88.727212,1-Regular local school district that is NOT a component of a supervisory union,QUITMAN SCHOOL DIST,2803780
RANKIN CO SCHOOL DIST,Mississippi,32.282261,-90.0045,1-Regular local school district that is NOT a component of a supervisory union,RANKIN CO SCHOOL DIST,2803830
REIMAGINE PREP,MISSISSIPPI,32.267283,-90.222074,7-Independent Charter District,REIMAGINE PREP,2800188
RICHTON SCHOOL DIST,Mississippi,31.350724,-88.942375,1-Regular local school district that is NOT a component of a supervisory union,RICHTON SCHOOL DIST,2803870
ROGER AMOS MCMURTRY ADM,Mississippi,30.496893,-89.173454,5-State agency providing elementary and/or secondary level instruction,ROGER AMOS MCMURTRY ADM,2800183
SCOTT CO SCHOOL DIST,Mississippi,32.363495,-89.480777,1-Regular local school district that is NOT a component of a supervisory union,SCOTT CO SCHOOL DIST,2803900
SENATOBIA MUNICIPAL SCHOOL DIST,Mississippi,34.622368,-89.96368,1-Regular local school district that is NOT a component of a supervisory union,SENATOBIA MUNICIPAL SCHOOL DIST,2803930
SIMPSON CO SCHOOL DIST,Mississippi,31.967102,-89.883236,1-Regular local school district that is NOT a component of a supervisory union,SIMPSON CO SCHOOL DIST,2803990
SMITH CO SCHOOL DIST,Mississippi,32.033124,-89.521669,1-Regular local school district that is NOT a component of a supervisory union,SMITH CO SCHOOL DIST,2804020
SOUTH DELTA SCHOOL DISTRICT,Mississippi,32.899828,-90.878865,1-Regular local school district that is NOT a component of a supervisory union,SOUTH DELTA SCHOOL DISTRICT,2803960
SOUTH PANOLA SCHOOL DISTRICT,Mississippi,34.319924,-89.94984,1-Regular local school district that is NOT a component of a supervisory union,SOUTH PANOLA SCHOOL DISTRICT,2804050
SOUTH PIKE SCHOOL DIST,Mississippi,31.146073,-90.463971,1-Regular local school district that is NOT a component of a supervisory union,SOUTH PIKE SCHOOL DIST,2804080
SOUTH TIPPAH SCHOOL DIST,Mississippi,34.724893,-88.94296,1-Regular local school district that is NOT a component of a supervisory union,SOUTH TIPPAH SCHOOL DIST,2804110
STARKVILLE- OKTIBBEHA CONS DIST,MISSISSIPPI,33.461698,-88.822105,1-Regular local school district that is NOT a component of a supervisory union,STARKVILLE- OKTIBBEHA CONS DIST,2800189
STONE CO SCHOOL DIST,Mississippi,30.861018,-89.140988,1-Regular local school district that is NOT a component of a supervisory union,STONE CO SCHOOL DIST,2804170
SUNFLOWER CTY CONS SCHOOL DISTRICT,MISSISSIPPI,33.462324,-90.627868,1-Regular local school district that is NOT a component of a supervisory union,SUNFLOWER CTY CONS SCHOOL DISTRICT,2800187
TATE CO SCHOOL DIST,Mississippi,34.685402,-89.972682,1-Regular local school district that is NOT a component of a supervisory union,TATE CO SCHOOL DIST,2804230
TISHOMINGO CO SP MUN SCH DIST,Mississippi,34.818545,-88.210056,1-Regular local school district that is NOT a component of a supervisory union,TISHOMINGO CO SP MUN SCH DIST,2804260
TUNICA COUNTY SCHOOL DISTRICT,Mississippi,34.68092,-90.381574,1-Regular local school district that is NOT a component of a supervisory union,TUNICA COUNTY SCHOOL DISTRICT,2804290
TUPELO PUBLIC SCHOOL DIST,Mississippi,34.256417,-88.706331,1-Regular local school district that is NOT a component of a supervisory union,TUPELO PUBLIC SCHOOL DIST,2804320
UNION CO SCHOOL DIST,Mississippi,34.491834,-89.009874,1-Regular local school district that is NOT a component of a supervisory union,UNION CO SCHOOL DIST,2804350
UNION PUBLIC SCHOOL DIST,Mississippi,32.569308,-89.111169,1-Regular local school district that is NOT a component of a supervisory union,UNION PUBLIC SCHOOL DIST,2804380
VICKSBURG WARREN SCHOOL DIST,Mississippi,32.342716,-90.863692,1-Regular local school district that is NOT a component of a supervisory union,VICKSBURG WARREN SCHOOL DIST,2804470
WALTHALL CO SCHOOL DIST,Mississippi,31.117607,-90.141813,1-Regular local school district that is NOT a component of a supervisory union,WALTHALL CO SCHOOL DIST,2804440
WATER VALLEY SCHOOL DISTRICT,Mississippi,34.156865,-89.639953,1-Regular local school district that is NOT a component of a supervisory union,WATER VALLEY SCHOOL DISTRICT,2804500
WAYNE CO SCHOOL DIST,Mississippi,31.674943,-88.648364,1-Regular local school district that is NOT a component of a supervisory union,WAYNE CO SCHOOL DIST,2804530
WEBSTER CO SCHOOL DIST,Mississippi,33.543703,-89.273349,1-Regular local school district that is NOT a component of a supervisory union,WEBSTER CO SCHOOL DIST,2804560
WEST BOLIVAR CONS SCHOOL DIST,MISSISSIPPI,33.845922,-91.026229,1-Regular local school district that is NOT a component of a supervisory union,WEST BOLIVAR CONS SCHOOL DIST,2800185
WEST JASPER CONSOLIDATED SCHOOLS,Mississippi,31.97827,-89.277481,1-Regular local school district that is NOT a component of a supervisory union,WEST JASPER CONSOLIDATED SCHOOLS,2804590
WEST POINT CONSOLIDATED SCHOOL DIST,MISSISSIPPI,33.602813,-88.647078,1-Regular local school district that is NOT a component of a supervisory union,WEST POINT CONSOLIDATED SCHOOL DIST,2800191
WEST TALLAHATCHIE SCHOOL DISTRICT,Mississippi,33.962971,-90.373406,1-Regular local school district that is NOT a component of a supervisory union,WEST TALLAHATCHIE SCHOOL DISTRICT,2804650
WESTERN LINE SCHOOL DISTRICT,Mississippi,33.235548,-91.045016,1-Regular local school district that is NOT a component of a supervisory union,WESTERN LINE SCHOOL DISTRICT,2804680
WILKINSON CO SCHOOL DIST,Mississippi,31.104319,-91.29811,1-Regular local school district that is NOT a component of a supervisory union,WILKINSON CO SCHOOL DIST,2804710
WINONA-MONTGOMERY CONSOLIDATED,MISSISSIPPI,33.487508,-89.734729,1-Regular local school district that is NOT a component of a supervisory union,WINONA-MONTGOMERY CONSOLIDATED,2800196
YAZOO CITY MUNICIPAL SCHOOL DIST,Mississippi,32.862913,-90.402969,1-Regular local school district that is NOT a component of a supervisory union,YAZOO CITY MUNICIPAL SCHOOL DIST,2804770
YAZOO CO SCHOOL DIST,Mississippi,32.781014,-90.374121,1-Regular local school district that is NOT a component of a supervisory union,YAZOO CO SCHOOL DIST,2804800
,,,,,,
,,,,,,
"Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) ""Local Education Agency (School District) Universe Survey"" 2021-22 v.1a.",,,,,,
,,,,,,
† indicates that the data are not applicable.,,,,,,
– indicates that the data are missing.,,,,,,
‡ indicates that the data do not meet NCES data quality standards.,,,,,,